station_id,last_updated,num_bikes_available,num_docks_available
16,2023-05-11 00:00:00,2.88,24.12
16,2023-05-11 01:00:00,2.711864406779661,24.28813559322034
16,2023-05-11 02:00:00,2.4150943396226414,24.58490566037736
16,2023-05-11 06:00:00,7.923076923076923,19.076923076923077
16,2023-05-13 20:00:00,2.1818181818181817,23.818181818181817
16,2023-05-13 21:00:00,4.0,22.0
17,2023-05-10 02:00:00,18.615384615384617,4.384615384615385
17,2023-05-10 03:00:00,20.0,3.0
17,2023-05-10 07:00:00,0.0,0.0
17,2023-05-10 23:00:00,15.294117647058824,7.705882352941177
17,2023-05-11 00:00:00,16.24,6.76
17,2023-05-11 01:00:00,15.830508474576272,7.169491525423729
17,2023-05-11 02:00:00,15.962264150943396,7.037735849056604
17,2023-05-11 06:00:00,20.0,2.0
17,2023-05-13 20:00:00,11.757575757575758,11.242424242424242
17,2023-05-13 21:00:00,12.19047619047619,10.80952380952381
18,2023-05-10 02:00:00,11.153846153846153,23.846153846153847
18,2023-05-10 03:00:00,10.0,25.0
18,2023-05-10 07:00:00,0.0,22.0
18,2023-05-10 23:00:00,3.7058823529411766,31.294117647058822
18,2023-05-11 00:00:00,3.0,32.0
18,2023-05-11 01:00:00,4.796610169491525,30.203389830508474
18,2023-05-11 02:00:00,7.452830188679245,27.547169811320753
18,2023-05-11 06:00:00,7.0,27.0
18,2023-05-13 20:00:00,0.5454545454545454,34.45454545454545
18,2023-05-13 21:00:00,0.0,35.0
19,2023-05-10 02:00:00,10.153846153846153,6.846153846153846
19,2023-05-10 03:00:00,11.0,6.0
19,2023-05-10 07:00:00,0.0,2.0
19,2023-05-10 23:00:00,4.411764705882353,14.588235294117647
19,2023-05-11 00:00:00,3.4,15.32
19,2023-05-11 01:00:00,3.406779661016949,15.59322033898305
19,2023-05-11 02:00:00,6.0754716981132075,12.924528301886792
19,2023-05-11 06:00:00,11.0,8.0
19,2023-05-13 20:00:00,4.757575757575758,14.242424242424242
19,2023-05-13 21:00:00,4.809523809523809,14.19047619047619
20,2023-05-10 02:00:00,26.307692307692307,8.692307692307692
20,2023-05-10 03:00:00,26.9,8.1
20,2023-05-10 07:00:00,0.0,15.0
20,2023-05-10 23:00:00,16.88235294117647,18.11764705882353
20,2023-05-11 00:00:00,24.8,10.2
20,2023-05-11 01:00:00,24.084745762711865,10.915254237288135
20,2023-05-11 02:00:00,22.867924528301888,12.132075471698114
